Ticker,Name,Model,P_USD(ADR),P_KRW(KRX),Parity_USD,Parity_KRW,Prem_now%,Prem_μ(OU)%,Z_OU,OU_HL(days),Conv_net%,Signal_US,E[r]_KRW,α_KRW,α_pval,Signal_KR,β_KOSPI,β_MKT(FF5),β_HML(FF5),R²,Tgt_KRW,Tgt_USD(impl),Upside_KR%,Upside_US%,n_obs
LPL,"LG Display Co., Ltd.",KR_CAPM,4.4900,12660,4.1900,13315.0000,7.1200,5.6400,0.3700,5.9000,1.1800,OVERPRICED  (ADR),0.2533,-0.1242,0.3803,FAIRLY PRICED,0.9753,,,0.3068,23694,7.9900,87.2000,78.0000,1474
LPL,"LG Display Co., Ltd.",KR_FF5,4.4900,12660,4.1900,13315.0000,7.1200,5.6400,0.3700,5.9000,1.1800,OVERPRICED  (ADR),0.1540,-0.0978,0.5271,FAIRLY PRICED,,1.0959,0.5919,0.2846,18840,6.3500,48.8000,41.5000,1134
LPL,"LG Display Co., Ltd.",KR_APT,4.4900,12660,4.1900,13315.0000,7.1200,5.6400,0.3700,5.9000,1.1800,OVERPRICED  (ADR),0.2333,-0.1085,0.4443,FAIRLY PRICED,,,,0.3622,22661,7.6400,79.0000,70.2000,70
SKM,"SK Telecom Co., Ltd.",KR_CAPM,36.4100,93000,30.7900,107970.0000,18.2500,9.9000,1.6220,14.7000,8.0500,OVERPRICED  (ADR),0.1286,0.1136,0.2627,FAIRLY PRICED,0.4360,,,0.1470,130120,43.8800,39.9000,20.5000,1474
SKM,"SK Telecom Co., Ltd.",KR_FF5,36.4100,93000,30.7900,107970.0000,18.2500,9.9000,1.6220,14.7000,8.0500,OVERPRICED  (ADR),0.0774,0.1028,0.3385,FAIRLY PRICED,,0.4200,0.3345,0.1080,114372,38.5700,23.0000,5.9000,1134
SKM,"SK Telecom Co., Ltd.",KR_APT,36.4100,93000,30.7900,107970.0000,18.2500,9.9000,1.6220,14.7000,8.0500,OVERPRICED  (ADR),0.1247,0.0523,0.6133,FAIRLY PRICED,,,,0.2755,128886,43.4600,38.6000,19.4000,70
KT,KT Corporation,KR_CAPM,22.6200,62100,20.5600,67077.0000,10.0200,6.2900,0.8800,13.9000,3.4300,OVERPRICED  (ADR),0.1148,0.1695,0.0645,FAIRLY PRICED,0.3764,,,0.1359,83972,28.3200,35.2000,25.2000,1474
KT,KT Corporation,KR_FF5,22.6200,62100,20.5600,67077.0000,10.0200,6.2900,0.8800,13.9000,3.4300,OVERPRICED  (ADR),0.0808,0.1856,0.0631,FAIRLY PRICED,,0.4242,0.4149,0.1259,77048,25.9800,24.1000,14.9000,1134
KT,KT Corporation,KR_APT,22.6200,62100,20.5600,67077.0000,10.0200,6.2900,0.8800,13.9000,3.4300,OVERPRICED  (ADR),0.0532,0.1942,0.0536,FAIRLY PRICED,,,,0.0926,71717,24.1800,15.5000,6.9000,70
PKX,POSCO Holdings Inc.,KR_CAPM,63.1400,369000,61.0900,374471.0000,3.3600,3.1400,0.0670,5.0000,-0.0700,OVERPRICED  (ADR),0.2344,0.0297,0.8348,FAIRLY PRICED,0.8934,,,0.2685,662042,111.6300,79.4000,76.8000,1474
PKX,POSCO Holdings Inc.,KR_FF5,63.1400,369000,61.0900,374471.0000,3.3600,3.1400,0.0670,5.0000,-0.0700,OVERPRICED  (ADR),0.1757,0.0579,0.7083,FAIRLY PRICED,,1.1163,1.1186,0.2941,578394,97.5200,56.7000,54.5000,1134
PKX,POSCO Holdings Inc.,KR_APT,63.1400,369000,61.0900,374471.0000,3.3600,3.1400,0.0670,5.0000,-0.0700,OVERPRICED  (ADR),0.1602,0.1010,0.5670,FAIRLY PRICED,,,,0.3296,557437,93.9900,51.1000,48.9000,70
KEP,Korea Electric Power Corporation (KEPCO),KR_CAPM,14.8000,43400,14.3700,43888.0000,3.0000,3.7100,-0.4380,2.0000,0.4100,FAIRLY PRICED,0.1770,0.0486,0.7305,FAIRLY PRICED,0.6455,,,0.1634,68236,23.0100,57.2000,55.5000,1474
KEP,Korea Electric Power Corporation (KEPCO),KR_FF5,14.8000,43400,14.3700,43888.0000,3.0000,3.7100,-0.4380,2.0000,0.4100,FAIRLY PRICED,0.1382,-0.0538,0.6878,FAIRLY PRICED,,0.6658,1.3063,0.1868,62160,20.9600,43.2000,41.6000,1134
KEP,Korea Electric Power Corporation (KEPCO),KR_APT,14.8000,43400,14.3700,43888.0000,3.0000,3.7100,-0.4380,2.0000,0.4100,FAIRLY PRICED,0.0615,0.1704,0.2831,FAIRLY PRICED,,,,0.2231,51227,17.2700,18.0000,16.7000,70
KB,KB Financial Group Inc.,KR_CAPM,109.2500,158300,104.8200,161985.0000,4.2200,3.7400,0.1370,6.5000,0.1800,OVERPRICED  (ADR),0.2030,0.1813,0.1454,FAIRLY PRICED,0.7577,,,0.2568,264425,178.3400,67.0000,63.2000,1474
