ticker,krx_ticker,english_name,model,lp_krw,beta_kospi,alpha_ann_krw,alpha_pval,er_krw,rsq,target_krw,signal,n_obs,model_label,ff5_source,beta_MKT_RF_KR,beta_HML_KR
LPL,034220.KS,"LG Display Co., Ltd.",KR_CAPM,12660.0000,0.9753,-0.1242,0.3803,0.2533,0.3068,23694.0000,FAIRLY PRICED,1474,KR_CAPM×Daily,,,
LPL,034220.KS,"LG Display Co., Ltd.",KR_FF5,12660.0000,,-0.0978,0.5271,0.1540,0.2846,18840.0000,FAIRLY PRICED,1134,KR_FF5×Daily,ETF proxy,1.0959,0.5919
LPL,034220.KS,"LG Display Co., Ltd.",KR_APT,12660.0000,,-0.1085,0.4443,0.2333,0.3622,22661.0000,FAIRLY PRICED,70,KR_APT×Monthly,,,
SKM,017670.KS,"SK Telecom Co., Ltd.",KR_CAPM,93000.0000,0.4360,0.1136,0.2627,0.1286,0.1470,130120.0000,FAIRLY PRICED,1474,KR_CAPM×Daily,,,
SKM,017670.KS,"SK Telecom Co., Ltd.",KR_FF5,93000.0000,,0.1028,0.3385,0.0774,0.1080,114372.0000,FAIRLY PRICED,1134,KR_FF5×Daily,ETF proxy,0.4200,0.3345
SKM,017670.KS,"SK Telecom Co., Ltd.",KR_APT,93000.0000,,0.0523,0.6133,0.1247,0.2755,128886.0000,FAIRLY PRICED,70,KR_APT×Monthly,,,
KT,030200.KS,KT Corporation,KR_CAPM,62100.0000,0.3764,0.1695,0.0645,0.1148,0.1359,83972.0000,FAIRLY PRICED,1474,KR_CAPM×Daily,,,
KT,030200.KS,KT Corporation,KR_FF5,62100.0000,,0.1856,0.0631,0.0808,0.1259,77048.0000,FAIRLY PRICED,1134,KR_FF5×Daily,ETF proxy,0.4242,0.4149
KT,030200.KS,KT Corporation,KR_APT,62100.0000,,0.1942,0.0536,0.0532,0.0926,71717.0000,FAIRLY PRICED,70,KR_APT×Monthly,,,
PKX,005490.KS,POSCO Holdings Inc.,KR_CAPM,369000.0000,0.8934,0.0297,0.8348,0.2344,0.2685,662042.0000,FAIRLY PRICED,1474,KR_CAPM×Daily,,,
PKX,005490.KS,POSCO Holdings Inc.,KR_FF5,369000.0000,,0.0579,0.7083,0.1757,0.2941,578394.0000,FAIRLY PRICED,1134,KR_FF5×Daily,ETF proxy,1.1163,1.1186
PKX,005490.KS,POSCO Holdings Inc.,KR_APT,369000.0000,,0.1010,0.5670,0.1602,0.3296,557437.0000,FAIRLY PRICED,70,KR_APT×Monthly,,,
KEP,015760.KS,Korea Electric Power Corporation (KEPCO),KR_CAPM,43400.0000,0.6455,0.0486,0.7305,0.1770,0.1634,68236.0000,FAIRLY PRICED,1474,KR_CAPM×Daily,,,
KEP,015760.KS,Korea Electric Power Corporation (KEPCO),KR_FF5,43400.0000,,-0.0538,0.6878,0.1382,0.1868,62160.0000,FAIRLY PRICED,1134,KR_FF5×Daily,ETF proxy,0.6658,1.3063
KEP,015760.KS,Korea Electric Power Corporation (KEPCO),KR_APT,43400.0000,,0.1704,0.2831,0.0615,0.2231,51227.0000,FAIRLY PRICED,70,KR_APT×Monthly,,,
KB,105560.KS,KB Financial Group Inc.,KR_CAPM,158300.0000,0.7577,0.1813,0.1454,0.2030,0.2568,264425.0000,FAIRLY PRICED,1474,KR_CAPM×Daily,,,
KB,105560.KS,KB Financial Group Inc.,KR_FF5,158300.0000,,0.1271,0.3299,0.1953,0.3579,259780.0000,FAIRLY PRICED,1134,KR_FF5×Daily,ETF proxy,1.0234,1.8863
KB,105560.KS,KB Financial Group Inc.,KR_APT,158300.0000,,0.2641,0.0323,0.0874,0.2326,199756.0000,UNDERPRICED +,70,KR_APT×Monthly,,,
SHG,055550.KS,"Shinhan Financial Group Co., Ltd.",KR_CAPM,98700.0000,0.6886,0.1333,0.2216,0.1870,0.2712,158860.0000,FAIRLY PRICED,1474,KR_CAPM×Daily,,,
SHG,055550.KS,"Shinhan Financial Group Co., Ltd.",KR_FF5,98700.0000,,0.0656,0.5601,0.1805,0.3822,156437.0000,FAIRLY PRICED,1134,KR_FF5×Daily,ETF proxy,0.9248,1.7500
SHG,055550.KS,"Shinhan Financial Group Co., Ltd.",KR_APT,98700.0000,,0.2160,0.0459,0.0651,0.2762,117587.0000,UNDERPRICED +,70,KR_APT×Monthly,,,
WF,316140.KS,Woori Financial Group Inc.,KR_CAPM,34150.0000,0.6602,0.1933,0.0543,0.1804,0.2875,54126.0000,FAIRLY PRICED,1474,KR_CAPM×Daily,,,
WF,316140.KS,Woori Financial Group Inc.,KR_FF5,34150.0000,,0.1105,0.2807,0.1663,0.3881,52342.0000,FAIRLY PRICED,1134,KR_FF5×Daily,ETF proxy,0.8632,1.5347
WF,316140.KS,Woori Financial Group Inc.,KR_APT,34150.0000,,0.2618,0.0092,0.0855,0.2769,42882.0000,UNDERPRICED +,70,KR_APT×Monthly,,,
